epoch,accuracy,f1_score,loss,precision_9,recall_9,val_accuracy,val_f1_score,val_loss,val_precision_9,val_recall_9
0,0.521846354007721,0.48107072710990906,0.6933038234710693,0.5581188797950745,0.42271506786346436,0.5804196000099182,0.5575221180915833,0.684572696685791,0.6116504669189453,0.5121951103210449
1,0.544045090675354,0.5427561402320862,0.6864328384399414,0.5722801685333252,0.5161290168762207,0.6125873923301697,0.6311584115028381,0.676994800567627,0.6204188466072083,0.642276406288147
2,0.5789288282394409,0.6101141571998596,0.6746726632118225,0.592897891998291,0.6283602118492126,0.6125873923301697,0.656753420829773,0.6701862215995789,0.6050228476524353,0.718157172203064
3,0.5940803289413452,0.640224814414978,0.6721044182777405,0.5980163216590881,0.6888440847396851,0.6321678161621094,0.6894923448562622,0.6645968556404114,0.6108786463737488,0.7913278937339783
4,0.6127554774284363,0.6710565686225891,0.6631762981414795,0.6049649119377136,0.7533602118492126,0.6251748204231262,0.6905311942100525,0.6593884229660034,0.6016096472740173,0.8102980852127075
5,0.62861168384552,0.6876111030578613,0.6581913232803345,0.6150583028793335,0.7795698642730713,0.6377622485160828,0.7040000557899475,0.6545909643173218,0.6086956262588501,0.8346883654594421
6,0.6360113024711609,0.6928338408470154,0.65512615442276,0.6213333606719971,0.7829301357269287,0.6349650621414185,0.703071653842926,0.6497904062271118,0.6058823466300964,0.8373983502388
7,0.6427061557769775,0.7012374997138977,0.6471430063247681,0.6243441700935364,0.7997311949729919,0.6461538672447205,0.7101947069168091,0.6450023055076599,0.6150793433189392,0.8401083946228027
8,0.6346018314361572,0.6923761963844299,0.646239697933197,0.6197556853294373,0.7842742204666138,0.6601398587226868,0.7203682661056519,0.6399452686309814,0.6259999871253967,0.848238468170166
9,0.6402395963668823,0.699970543384552,0.6433237791061401,0.6219320893287659,0.8004032373428345,0.6671328544616699,0.7232558131217957,0.6350449919700623,0.6334012150764465,0.8428184390068054
10,0.6483439207077026,0.701197624206543,0.6358544826507568,0.6322894096374512,0.7869623899459839,0.6783216595649719,0.7313084006309509,0.6301626563072205,0.6427104473114014,0.848238468170166
11,0.6448202729225159,0.6982035636901855,0.6338716149330139,0.6295896172523499,0.7836021780967712,0.6741258502006531,0.7242603302001953,0.6260340213775635,0.6428571343421936,0.8292682766914368
