epoch,accuracy,f1_score,loss,precision_28,recall_28,val_accuracy,val_f1_score,val_loss,val_precision_28,val_recall_28
0,0.6212121248245239,0.6776611804962158,0.6723539233207703,0.6118029356002808,0.7594085931777954,0.703496515750885,0.7700650691986084,0.6547976732254028,0.6501831412315369,0.9441489577293396
1,0.670894980430603,0.7311457395553589,0.6488955616950989,0.6394763588905334,0.8534946441650391,0.7048950791358948,0.7688937187194824,0.634070634841919,0.6536312699317932,0.9335106611251831
2,0.6804087162017822,0.7344070076942444,0.629047155380249,0.6507524847984314,0.8427419066429138,0.7104895114898682,0.7623421549797058,0.6156418323516846,0.6707070469856262,0.8829787373542786
3,0.6990838646888733,0.7362569570541382,0.6122962236404419,0.6811428666114807,0.801075279712677,0.7216783165931702,0.7616766691207886,0.5980566143989563,0.6928104758262634,0.8457446694374084
4,0.7036645412445068,0.7298426628112793,0.5972521305084229,0.6990769505500793,0.7634408473968506,0.7188811302185059,0.7563636302947998,0.5836222767829895,0.6948775053024292,0.8297872543334961
5,0.7050740122795105,0.7328439354896545,0.5862110257148743,0.6978723406791687,0.7715053558349609,0.7174825072288513,0.7481297254562378,0.5726416110992432,0.7042253613471985,0.7978723645210266
6,0.7064834237098694,0.7282217741012573,0.5773823261260986,0.7076727747917175,0.75,0.7230769395828247,0.7549505233764648,0.5671995878219604,0.7060185074806213,0.811170220375061
7,0.7152924537658691,0.7376623153686523,0.5685855150222778,0.713567852973938,0.7634408473968506,0.7216783165931702,0.7527949810028076,0.5641173720359802,0.7062937021255493,0.8058510422706604
8,0.7089499831199646,0.7338917255401611,0.5692141056060791,0.7048267126083374,0.7654569745063782,0.714685320854187,0.743073046207428,0.562138557434082,0.7057416439056396,0.7845744490623474
9,0.7142353653907776,0.7367737889289856,0.5645459890365601,0.7124921679496765,0.7627688050270081,0.7174825072288513,0.7430025339126587,0.5611762404441833,0.712195098400116,0.7765957713127136
10,0.7177590131759644,0.7381496429443359,0.5571020841598511,0.7186505198478699,0.7587365508079529,0.7202796936035156,0.7512437701225281,0.5601843595504761,0.7056074738502502,0.8031914830207825
11,0.7071881890296936,0.7320219278335571,0.5615837574005127,0.7036578059196472,0.7627688050270081,0.7188811302185059,0.7490637302398682,0.5596936941146851,0.7058823704719543,0.7978723645210266
