epoch,accuracy,f1_score,loss,precision_38,recall_38,val_accuracy,val_f1_score,val_loss,val_precision_38,val_recall_38
0,0.5028188824653625,0.4353741407394409,10.203327178955078,0.5380811095237732,0.3655914068222046,0.5328671336174011,0.47318610548973083,9.901220321655273,0.5813953280448914,0.3989361822605133
1,0.5197321772575378,0.528536856174469,9.619179725646973,0.5445473790168762,0.5134408473968506,0.6251748204231262,0.6666666269302368,9.328326225280762,0.6261682510375977,0.7127659320831299
2,0.538759708404541,0.598343014717102,9.060750007629395,0.5505363941192627,0.6552419066429138,0.6391608119010925,0.7261146903038025,8.779548645019531,0.6042402982711792,0.9095744490623474
3,0.5690627098083496,0.6490674614906311,8.521720886230469,0.5663495063781738,0.7600806355476379,0.6335664391517639,0.7310061454772949,8.254111289978027,0.5953177213668823,0.9468085169792175
4,0.5556730031967163,0.6548042893409729,8.008864402770996,0.552424967288971,0.8037634491920471,0.6223776340484619,0.7305389046669006,7.749805450439453,0.584664523601532,0.9734042286872864
5,0.581043004989624,0.674335777759552,7.514798641204834,0.5691169500350952,0.8272849321365356,0.6293706297874451,0.7347347140312195,7.267301082611084,0.589085042476654,0.9760638475418091
6,0.5859760642051697,0.6814855337142944,7.042914867401123,0.5711040496826172,0.8447580933570862,0.6391608119010925,0.7393938899040222,6.806451320648193,0.5960912108421326,0.9734042286872864
7,0.5870330929756165,0.6834143400192261,6.591668128967285,0.5713640451431274,0.8501344323158264,0.6517482399940491,0.745658814907074,6.366949081420898,0.6053068041801453,0.9707446694374084
8,0.6116983890533447,0.7007061839103699,6.163832664489746,0.5879671573638916,0.8669354915618896,0.6699300408363342,0.7556935548782349,5.9473748207092285,0.6186440587043762,0.9707446694374084
9,0.6226215362548828,0.7048773169517517,5.754848957061768,0.5973843932151794,0.8595430254936218,0.6867132782936096,0.7637131214141846,5.547722816467285,0.632867157459259,0.9627659320831299
10,0.6363636255264282,0.7169500589370728,5.364327430725098,0.6056534051895142,0.8783602118492126,0.6825174689292908,0.7582533955574036,5.167724132537842,0.6323268413543701,0.9468085169792175
11,0.6441155672073364,0.7172452807426453,4.992839813232422,0.6146833300590515,0.8608871102333069,0.692307710647583,0.7613882422447205,4.805419921875,0.6428571343421936,0.9335106611251831
