epoch,accuracy,f1_score,loss,precision_33,recall_33,val_accuracy,val_f1_score,val_loss,val_precision_33,val_recall_33
0,0.43410852551460266,0.3412633240222931,1.3048795461654663,0.437894731760025,0.2795698940753937,0.3944056034088135,0.40110650658607483,0.9747387170791626,0.41786742210388184,0.3856382966041565
1,0.44890767335891724,0.46364885568618774,1.0932130813598633,0.4733893573284149,0.4543010890483856,0.42097902297973633,0.47727271914482117,0.9030212759971619,0.45432692766189575,0.5026595592498779
2,0.48167723417282104,0.5065414309501648,0.95986407995224,0.505693256855011,0.5073924660682678,0.4545454680919647,0.4854881167411804,0.8477689027786255,0.481675386428833,0.4893617033958435
3,0.4996476471424103,0.5140314698219299,0.8697804808616638,0.5237098932266235,0.5047042965888977,0.4867132902145386,0.5288832187652588,0.7992055416107178,0.5111662745475769,0.5478723645210266
4,0.501761794090271,0.5110650658607483,0.8148646950721741,0.5263532996177673,0.49663978815078735,0.49930068850517273,0.5289472937583923,0.7624824047088623,0.5234375,0.5345744490623474
5,0.5151515007019043,0.5195530652999878,0.787936270236969,0.5406976938247681,0.5,0.525874137878418,0.5108225345611572,0.7333102822303772,0.5583596229553223,0.47074466943740845
6,0.5246652364730835,0.5221395492553711,0.7550817728042603,0.5520599484443665,0.4952957034111023,0.5580419301986694,0.5586592555046082,0.7060039043426514,0.5882353186607361,0.5319148898124695
7,0.5599013566970825,0.5585011839866638,0.7151714563369751,0.5891125798225403,0.5309139490127563,0.5986014008522034,0.6137281656265259,0.6831557750701904,0.6212534308433533,0.6063829660415649
8,0.5968992114067078,0.6142953634262085,0.6973839998245239,0.6163734793663025,0.6122311949729919,0.6209790110588074,0.6322930455207825,0.6566463708877563,0.6454293727874756,0.6196808218955994
9,0.6109936833381653,0.6377952694892883,0.6793571710586548,0.6230769157409668,0.6532257795333862,0.6531468629837036,0.6753926873207092,0.63481605052948,0.6649484634399414,0.686170220375061
10,0.6335447430610657,0.6578947901725769,0.6521288752555847,0.6443299055099487,0.6720430254936218,0.6825174689292908,0.7144654393196106,0.6161977648735046,0.6778042912483215,0.7553191781044006
11,0.6430584788322449,0.6705690622329712,0.6382676959037781,0.649653434753418,0.6928763389587402,0.6909090876579285,0.7321212887763977,0.6040591597557068,0.6726058125495911,0.8031914830207825
