epoch,accuracy,f1_score,loss,precision_37,recall_37,val_accuracy,val_f1_score,val_loss,val_precision_37,val_recall_37
0,0.4901339113712311,0.2606029510498047,0.7441831827163696,0.5437099933624268,0.1713709682226181,0.570629358291626,0.43462246656417847,0.6721521019935608,0.7065868377685547,0.31382977962493896
1,0.5937280058860779,0.5600916147232056,0.6637020111083984,0.6478375792503357,0.4932795763015747,0.7174825072288513,0.7376623749732971,0.6201448440551758,0.720812201499939,0.7553191781044006
2,0.6529245972633362,0.669573962688446,0.6341803073883057,0.668452799320221,0.6706989407539368,0.7384615540504456,0.7699877619743347,0.5902167558670044,0.7162471413612366,0.832446813583374
3,0.6878083348274231,0.7134540677070618,0.6045859456062317,0.6876558661460876,0.7412634491920471,0.7454545497894287,0.7758620977401733,0.5700865387916565,0.7224770784378052,0.8377659320831299
4,0.6913319230079651,0.7144719958305359,0.5995160341262817,0.6936708688735962,0.7365591526031494,0.7440559267997742,0.7749078273773193,0.5564212203025818,0.7208238244056702,0.8377659320831299
5,0.7089499831199646,0.7304177284240723,0.5761470198631287,0.7100253701210022,0.7520161271095276,0.7412587404251099,0.7713226079940796,0.5456845760345459,0.7205542922019958,0.8297872543334961
6,0.7167019248008728,0.7374265193939209,0.5733794569969177,0.7172808051109314,0.7587365508079529,0.7398601174354553,0.7686567902565002,0.538583517074585,0.7219626307487488,0.8218085169792175
7,0.7184637188911438,0.7396546006202698,0.5703958868980408,0.7179000377655029,0.7627688050270081,0.7398601174354553,0.770370364189148,0.534781813621521,0.7188940048217773,0.8297872543334961
8,0.7138830423355103,0.7368761897087097,0.5621296763420105,0.711514413356781,0.7641128897666931,0.737062931060791,0.7655860781669617,0.5305604934692383,0.7206572890281677,0.8164893388748169
9,0.7230443954467773,0.7456309795379639,0.5553361177444458,0.7191011309623718,0.774193525314331,0.7384615540504456,0.7629911303520203,0.5281357765197754,0.7288135886192322,0.8005319237709045
10,0.7163495421409607,0.737870454788208,0.5561772584915161,0.7157296538352966,0.761424720287323,0.7412587404251099,0.7667086720466614,0.52669358253479,0.7290167808532715,0.8085106611251831
11,0.7251585721969604,0.7464239597320557,0.547775149345398,0.7229219079017639,0.7715053558349609,0.7426573634147644,0.7653061151504517,0.524209201335907,0.7352941036224365,0.7978723645210266
