epoch,accuracy,f1_score,loss,precision_27,recall_27,val_accuracy,val_f1_score,val_loss,val_precision_27,val_recall_27
0,0.5768146514892578,0.5968446135520935,0.6824283003807068,0.5962441563606262,0.5974462628364563,0.6055943965911865,0.6961207389831543,0.6746386289596558,0.5851449370384216,0.8590425252914429
1,0.5877378582954407,0.6707935333251953,0.6733349561691284,0.5769603252410889,0.801075279712677,0.5986014008522034,0.7068437337875366,0.6683754324913025,0.5737977027893066,0.9202127456665039
2,0.6310782432556152,0.705650806427002,0.6640939712524414,0.606573224067688,0.8434139490127563,0.6615384817123413,0.7397849559783936,0.6612585783004761,0.6209385991096497,0.914893627166748
3,0.641649067401886,0.70632404088974,0.6597933769226074,0.6192405223846436,0.8219085931777954,0.6965035200119019,0.7553551197052002,0.6539301872253418,0.6555773019790649,0.8909574747085571
4,0.6582099795341492,0.7133569717407227,0.6509126424789429,0.6366033554077148,0.8111559152603149,0.7048950791358948,0.7571921944618225,0.6457185745239258,0.6673427820205688,0.875
5,0.6723044514656067,0.7104608416557312,0.6432828903198242,0.6618329286575317,0.7668010592460632,0.7118881344795227,0.7565011382102966,0.6375207304954529,0.6808510422706604,0.8510638475418091
6,0.6825228929519653,0.7147831916809082,0.6349472403526306,0.6756433248519897,0.7587365508079529,0.714685320854187,0.7571428418159485,0.6296667456626892,0.6853448152542114,0.8457446694374084
7,0.6800563931465149,0.7097187042236328,0.6291360855102539,0.6768292784690857,0.7459677457809448,0.7230769395828247,0.764845609664917,0.6224786639213562,0.6909871101379395,0.8563829660415649
8,0.6782945990562439,0.7083998918533325,0.6228334903717041,0.6749848127365112,0.7452957034111023,0.7230769395828247,0.7585366368293762,0.6154124140739441,0.7004504799842834,0.8271276354789734
9,0.6863988637924194,0.7070441246032715,0.6141836047172546,0.6929032206535339,0.7217742204666138,0.7230769395828247,0.7597087621688843,0.6092231869697571,0.6986607313156128,0.832446813583374
10,0.6923890113830566,0.7160975933074951,0.6091744899749756,0.6937618255615234,0.7399193644523621,0.7230769395828247,0.7555555105209351,0.6034039855003357,0.7050691246986389,0.813829779624939
11,0.7026074528694153,0.7199735045433044,0.6018011569976807,0.71100914478302,0.7291666865348816,0.7244755029678345,0.7629361748695374,0.5988717675209045,0.696703314781189,0.8430851101875305
