epoch,accuracy,f1_score,loss,precision_6,recall_6,val_accuracy,val_f1_score,val_loss,val_precision_6,val_recall_6
0,0.5267794132232666,0.6865811347961426,2.4757771492004395,0.5259206295013428,0.988575279712677,0.5160838961601257,0.6808117628097534,1.6737104654312134,0.5160838961601257,1.0
1,0.5021141767501831,0.6517130732536316,1.3350377082824707,0.5145971179008484,0.8884408473968506,0.46853145956993103,0.6274509429931641,1.0145989656448364,0.4915514588356018,0.8672086596488953
2,0.45525017380714417,0.5575271844863892,0.9706200361251831,0.4855433702468872,0.6545698642730713,0.4545454680919647,0.5527523159980774,0.8435872197151184,0.4791252613067627,0.6531165242195129
3,0.4890768229961395,0.5355541706085205,0.8522363305091858,0.5116279125213623,0.5618279576301575,0.49370628595352173,0.5669856667518616,0.778117835521698,0.5074946284294128,0.642276406288147
4,0.5264270901679993,0.5543766617774963,0.8140330910682678,0.5471203923225403,0.5618279576301575,0.5496503710746765,0.5954774022102356,0.7314512133598328,0.5550351142883301,0.642276406288147
5,0.5595489740371704,0.5722108483314514,0.7698298692703247,0.5829846858978271,0.5618279576301575,0.5762237906455994,0.6080207228660583,0.7035757303237915,0.5816831588745117,0.6368563771247864
6,0.5824524164199829,0.5869640707969666,0.7400290966033936,0.6097031235694885,0.5658602118492126,0.6111888289451599,0.6222826242446899,0.681623637676239,0.6239781975746155,0.6205962300300598
7,0.5954897999763489,0.5867530703544617,0.7256274819374084,0.6317829489707947,0.5477150678634644,0.6321678161621094,0.6372414231300354,0.6648420691490173,0.648876428604126,0.6260162591934204
8,0.6120507121086121,0.5971459746360779,0.7025414109230042,0.6554216742515564,0.5483871102333069,0.6377622485160828,0.6427586674690247,0.6540957689285278,0.6544944047927856,0.631436288356781
9,0.6275545954704285,0.6057441234588623,0.6873066425323486,0.6806370615959167,0.5456989407539368,0.6503496766090393,0.6478873491287231,0.6441222429275513,0.6744868159294128,0.6233062148094177
10,0.6212121248245239,0.5917205214500427,0.6825795769691467,0.6803493499755859,0.5235214829444885,0.6559440493583679,0.6564245820045471,0.6388052105903625,0.6772334575653076,0.6368563771247864
11,0.6240310072898865,0.599624752998352,0.6687089204788208,0.6788445115089417,0.5369623899459839,0.6503496766090393,0.6518105864524841,0.6300175786018372,0.670487105846405,0.6341463327407837
