epoch,accuracy,f1_score,loss,precision_18,recall_18,val_accuracy,val_f1_score,val_loss,val_precision_18,val_recall_18
0,0.5243129134178162,0.65840083360672,0.8904954195022583,0.5280032753944397,0.8743279576301575,0.5314685106277466,0.6883720755577087,0.7487917542457581,0.5293276309967041,0.9840425252914429
1,0.5345313549041748,0.6357871294021606,0.7005185484886169,0.5390369296073914,0.7748655676841736,0.581818163394928,0.6808964610099792,0.6803966760635376,0.5686274766921997,0.8484042286872864
2,0.5778717398643494,0.6256250143051147,0.6679880023002625,0.5846962332725525,0.6727150678634644,0.5986014008522034,0.6666666865348816,0.6735253930091858,0.5917525887489319,0.7632978558540344
3,0.5947850346565247,0.6207123398780823,0.6624430418014526,0.609455943107605,0.6323924660682678,0.6013985872268677,0.6666666865348816,0.6691281795501709,0.594989538192749,0.7579787373542786
4,0.5944327116012573,0.615949273109436,0.6601901054382324,0.6116633415222168,0.6202957034111023,0.6181818246841431,0.6642066240310669,0.6604793667793274,0.6178489923477173,0.7180851101875305
5,0.6176885366439819,0.6204966902732849,0.6466811299324036,0.6469730138778687,0.5961021780967712,0.6461538672447205,0.6585695147514343,0.6455308794975281,0.6684931516647339,0.6489361524581909
6,0.6479915380477905,0.657524824142456,0.6320418119430542,0.6710986495018005,0.6444892287254333,0.6713286638259888,0.678522527217865,0.6374034285545349,0.6985915303230286,0.6595744490623474
7,0.6536293029785156,0.6666667461395264,0.6262872219085693,0.6728268265724182,0.6606183052062988,0.6587412357330322,0.6855670809745789,0.6321250796318054,0.6650000214576721,0.707446813583374
8,0.672656774520874,0.687731146812439,0.6176247596740723,0.6879623532295227,0.6875,0.6727272868156433,0.6871657967567444,0.6293631792068481,0.6908602118492126,0.6835106611251831
9,0.6758280396461487,0.6864349246025085,0.6169790625572205,0.6964038610458374,0.6767473220825195,0.6671328544616699,0.6851851344108582,0.6237621903419495,0.6815789341926575,0.688829779624939
10,0.6670190095901489,0.6746988296508789,0.6104506850242615,0.6916019916534424,0.6586021780967712,0.6769230961799622,0.7019355297088623,0.6212653517723083,0.6817042827606201,0.7234042286872864
11,0.6775898337364197,0.6916077136993408,0.6083521842956543,0.6937119960784912,0.6895161271095276,0.6671328544616699,0.6901041865348816,0.6181612610816956,0.6760203838348389,0.7047872543334961
