epoch,accuracy,f1_score,loss,precision_22,recall_22,val_accuracy,val_f1_score,val_loss,val_precision_22,val_recall_22
0,0.5278365015983582,0.6769527792930603,0.6895904541015625,0.5278195738792419,0.9435483813285828,0.525874137878418,0.6892759203910828,0.6904910802841187,0.525874137878418,1.0
1,0.5341789722442627,0.6879131197929382,0.6863054633140564,0.5302037596702576,0.9791666865348816,0.525874137878418,0.6892759203910828,0.6907248497009277,0.525874137878418,1.0
2,0.5373502373695374,0.689230740070343,0.6832131743431091,0.5319693088531494,0.9784946441650391,0.5272727012634277,0.6899083256721497,0.6908573508262634,0.5266106724739075,1.0
3,0.5408738255500793,0.6914516091346741,0.6827110648155212,0.5338208675384521,0.9811828136444092,0.5202797055244446,0.6809302568435669,0.6910426616668701,0.5236051678657532,0.9734042286872864
4,0.5517970323562622,0.6934939622879028,0.6802970170974731,0.5405709743499756,0.9670698642730713,0.5230769515037537,0.6761633157730103,0.6911079287528992,0.5258493423461914,0.9468085169792175
5,0.5725863575935364,0.6999751925468445,0.6766412854194641,0.553816020488739,0.9509408473968506,0.525874137878418,0.6705539226531982,0.6915278434753418,0.5283308029174805,0.917553186416626
6,0.5972515940666199,0.7059428691864014,0.6728262901306152,0.5719049572944641,0.9220430254936218,0.5160838961601257,0.6581027507781982,0.6923230886459351,0.5235849022865295,0.8856382966041565
7,0.6078224182128906,0.7070282101631165,0.6688923835754395,0.5811337232589722,0.9025537371635437,0.5132867097854614,0.6382536292076111,0.6930860877037048,0.5238907933235168,0.8164893388748169
8,0.6328400373458862,0.715766429901123,0.6589058041572571,0.6023874878883362,0.8817204236984253,0.514685332775116,0.632025420665741,0.6946747303009033,0.525573194026947,0.792553186416626
9,0.646934449672699,0.7197986841201782,0.6533928513526917,0.6163793206214905,0.8649193644523621,0.5230769515037537,0.6198439598083496,0.6964590549468994,0.533589243888855,0.7393617033958435
10,0.6603241562843323,0.7134364247322083,0.6465681791305542,0.6396588683128357,0.8064516186714172,0.5230769515037537,0.6223698854446411,0.7002357840538025,0.5332068204879761,0.7473404407501221
11,0.6684284806251526,0.727325439453125,0.6354618668556213,0.6393275856971741,0.8434139490127563,0.5160838961601257,0.5811138153076172,0.7029861211776733,0.5333333611488342,0.6382978558540344
