epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.4615926742553711,0.3680727779865265,13.55359172821045,0.4784946143627167,0.2990591526031494,0.47412586212158203,0.14932125806808472,13.149367332458496,0.45205479860305786,0.08943089097738266
1,0.4926004111766815,0.39342883229255676,12.796377182006836,0.5270880460739136,0.31384408473968506,0.5202797055244446,0.2927834987640381,12.411792755126953,0.6120689511299133,0.19241192936897278
2,0.5155038833618164,0.4426428973674774,12.06950855255127,0.5577119588851929,0.36693549156188965,0.6307692527770996,0.6012083888053894,11.701399803161621,0.6791808605194092,0.5392953753471375
3,0.5475687384605408,0.5226765275001526,11.374137878417969,0.5848585963249207,0.4724462330341339,0.6769230961799622,0.6874154210090637,11.017885208129883,0.6864864826202393,0.6883468627929688
4,0.581043004989624,0.5755087733268738,10.700169563293457,0.6138613820075989,0.5416666865348816,0.681118905544281,0.6902173161506653,10.357261657714844,0.692098081111908,0.6883468627929688
5,0.5866807699203491,0.5803220272064209,10.054583549499512,0.6205049753189087,0.5450268983840942,0.6825174689292908,0.6936571598052979,9.72276782989502,0.6908602118492126,0.696476936340332
6,0.5940803289413452,0.5789473652839661,9.43155288696289,0.6346153616905212,0.5322580933570862,0.6965035200119019,0.7023319602012634,9.111184120178223,0.7111111283302307,0.6937669515609741
7,0.5940803289413452,0.5841155648231506,8.831663131713867,0.6310452222824097,0.5436828136444092,0.6993007063865662,0.7009735107421875,8.523416519165039,0.7200000286102295,0.6829268336296082
8,0.6004228591918945,0.5768656134605408,8.25728702545166,0.6484899520874023,0.5194892287254333,0.7076923251152039,0.7148703932762146,7.960921764373779,0.7197802066802979,0.7100270986557007
9,0.6208597421646118,0.6075857281684875,7.705722332000732,0.6642743349075317,0.5598118305206299,0.7118881344795227,0.7138888239860535,7.421693325042725,0.7321937084197998,0.696476936340332
10,0.6293164491653442,0.6089219450950623,7.175307750701904,0.6813644170761108,0.5504032373428345,0.7118881344795227,0.7073863744735718,6.9071431159973145,0.7432835698127747,0.6747967600822449
11,0.6257928013801575,0.6098456978797913,6.6786675453186035,0.6726093888282776,0.5577957034111023,0.7160839438438416,0.7120566964149475,6.416689872741699,0.7470238208770752,0.6802167892456055
12,0.6363636255264282,0.6282420754432678,6.195720672607422,0.6770186424255371,0.5860214829444885,0.7230769395828247,0.7309783101081848,5.9294047355651855,0.7329699993133545,0.7289972901344299
13,0.6508104205131531,0.6614280939102173,5.728844165802002,0.6726893782615662,0.6505376100540161,0.7384615540504456,0.7629910707473755,5.468748569488525,0.7166666388511658,0.8157181739807129
14,0.6568005681037903,0.677269697189331,5.294468402862549,0.6679738759994507,0.6868279576301575,0.7356643080711365,0.7616645693778992,5.04650354385376,0.7122641801834106,0.8184281587600708
15,0.6698378920555115,0.6900429725646973,4.88969087600708,0.6794788241386414,0.7009408473968506,0.737062931060791,0.7608142495155334,4.6519646644592285,0.7170263528823853,0.8102980852127075
16,0.6603241562843323,0.6729986667633057,4.508933067321777,0.6794520616531372,0.6666666865348816,0.7384615540504456,0.7599486112594604,4.280335903167725,0.7219512462615967,0.8021680116653442
17,0.6568005681037903,0.6757656335830688,4.153244495391846,0.6695250868797302,0.6821236610412598,0.737062931060791,0.7608142495155334,3.9328975677490234,0.7170263528823853,0.8102980852127075
18,0.6797040104866028,0.6979062557220459,3.8034744262695312,0.6903353333473206,0.7056451439857483,0.7398601174354553,0.7645570039749146,3.60457444190979,0.7173396944999695,0.8184281587600708
19,0.6842846870422363,0.7005347609519958,3.488457202911377,0.6968085169792175,0.7043010592460632,0.7398601174354553,0.7645570039749146,3.297307014465332,0.7173396944999695,0.8184281587600708
