epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.4675827920436859,0.31598007678985596,19.89424705505371,0.484049916267395,0.23454301059246063,0.4909090995788574,0.2571428418159485,18.843469619750977,0.5206611752510071,0.17073170840740204
1,0.4922480583190918,0.45146554708480835,17.873485565185547,0.5206321477890015,0.3985215127468109,0.5244755148887634,0.5514512062072754,16.89781951904297,0.5372750759124756,0.56639564037323
2,0.5056377649307251,0.5478569865226746,15.997441291809082,0.5263158082962036,0.5712365508079529,0.5076923370361328,0.6582524180412292,15.093005180358887,0.5128592848777771,0.9186992049217224
3,0.5091613531112671,0.6133777499198914,14.260079383850098,0.5224586129188538,0.7426075339317322,0.5104895234107971,0.6759259104728699,13.424800872802734,0.5133614540100098,0.989159882068634
4,0.5176180601119995,0.6369662880897522,12.65911865234375,0.5260621905326843,0.8071236610412598,0.5160838961601257,0.6808117628097534,11.893974304199219,0.5160838961601257,1.0
5,0.5172656774520874,0.6522842645645142,11.193863868713379,0.5240619778633118,0.863575279712677,0.5160838961601257,0.6808117628097534,10.494416236877441,0.5160838961601257,1.0
6,0.5151515007019043,0.6640625,9.857012748718262,0.5214723944664001,0.9139785170555115,0.5160838961601257,0.6808117628097534,9.222357749938965,0.5160838961601257,1.0
7,0.5207892656326294,0.6719729900360107,8.647269248962402,0.5240782499313354,0.9361559152603149,0.5160838961601257,0.6808117628097534,8.075766563415527,0.5160838961601257,1.0
8,0.523960530757904,0.6796299815177917,7.559743881225586,0.5251007676124573,0.9630376100540161,0.5160838961601257,0.6808117628097534,7.049447059631348,0.5160838961601257,1.0
9,0.5271317958831787,0.6839377880096436,6.591856002807617,0.5264684557914734,0.975806474685669,0.5160838961601257,0.6808117628097534,6.1421308517456055,0.5160838961601257,1.0
10,0.5236081480979919,0.6838166117668152,5.742741107940674,0.5243902206420898,0.9825268983840942,0.5160838961601257,0.6808117628097534,5.351752281188965,0.5160838961601257,1.0
11,0.5229034423828125,0.6849697828292847,5.010097503662109,0.5238434076309204,0.9892473220825195,0.5160838961601257,0.6808117628097534,4.677771091461182,0.5160838961601257,1.0
